II
0.96426
0.95065
0.91476
0.85974
0.78949
0.70823
0.62052
0.53122
0.44522
0.36562
0.29444
0.23319
0.18287
0.14398
0.11650
0.09993
0.09325
0.09492
0.10324
0.11679
0.13371
0.15236
0.17139
0.18969
0.20647
0.22116
0.23352
0.24353
0.25148
0.25787
0.26300
0.26712
0.27048
0.27329
0.27575
0.27803
0.28025
0.28253
0.28496
0.28758
0.29041
0.29347
0.29671
0.30009
0.30364
0.30741
0.31139
0.31559
0.32001
0.32466
0.32954
0.33464
0.33997
0.34552
0.35129
0.35727
0.36345
0.36983
0.37639
0.38313
0.39003
0.39710
0.40432
0.41166
0.41909
0.42658
0.43409
0.44160
0.44907
0.45648
0.46380
0.47100
0.47804
0.48491
0.49157
0.49801
0.50418
0.51007
0.51565
0.52089
0.52577
0.53027
0.53436
0.53802
0.54122
0.54395
0.54618
0.54788
0.54903
0.54956
0.54948
0.54881
0.54757
0.54580
0.54351
0.54074
0.53749
0.53380
0.52970
0.52520
0.52033
0.51511
0.50957
0.50373
0.49761
0.49125
0.48466
0.47787
0.47091
0.46379
0.45654
0.44919
0.44176
0.43427
0.42675
0.41923
0.41172
0.40426
0.39686
0.38955
0.38235
0.37530
0.36840
0.36170
0.35520
0.34894
0.34294
0.33722
0.33177
0.32657
0.32162
0.31693
0.31247
0.30826
0.30428
0.30053
0.29700
0.29370
0.29061
0.28772
0.28504
0.28255
0.28025
0.27813
0.27619
0.27442
0.27281
0.27136
0.27005
0.26889
0.26785
0.26694
0.26615
0.26546
0.26487
0.26437
0.26395
0.26360
0.26331
0.26308
0.26289
0.26276
0.26268
0.26265
0.26266
0.26271
0.26278
0.26288
0.26300
0.26314
0.26330
0.26347
0.26366
0.26387
0.26410
0.26435
0.26462
0.26492
0.26525
0.26563
0.26605
0.26653
0.26707
0.26768
0.26837
0.26916
0.27005
0.27106
0.27219
0.27348
0.27491
0.27649
0.27825
0.28023
0.28246
0.28499
0.28784
0.29102
0.29455
0.29846
0.30273
0.30738
0.31239
0.31777
0.32350
0.32955
0.33591
0.34255
0.34943
0.35652
0.36378
0.37114
0.37857
0.38604
0.39347
0.40076
0.40780
0.41449
0.42074
0.42647
0.43160
0.43608
0.43986
0.44288
0.44512
0.44655
0.44716
0.44693
0.44587
0.44400
0.44134
0.43790
0.43375
0.42891
0.42343
0.41734
0.41076
0.40381
0.39657
0.38915
0.38162
0.37407
0.36657
0.35918
0.35195
0.34494
0.33819
0.33172
0.32557
0.31975
0.31428
0.30916
0.30438
0.29994
0.29582
0.29199
0.28843
0.28533
0.28264
0.27980
0.27635
0.27196
0.26638
0.25948
0.25124
0.24173
0.23114
0.21976
0.20798
0.19631
0.18534
0.17556
0.16718
0.16271
0.16449
0.17438
0.19371
0.22331
0.26349
0.31407
0.37435
0.44313
0.51870
0.59883
0.68081
0.76140
0.83586
0.89827
0.94409
0.97012
0.97456
0.95696
0.91825
0.86071
0.78802
0.70521
0.61794
0.52913
0.44200
0.35947
0.28388
0.21704
0.16021
0.11407
0.07880
0.05401
0.03876
0.03273
0.03466
0.04276
0.05543
0.07124
0.08893
0.10740
0.12575
0.14323
0.15927
0.17349
0.18565
0.19572
0.20391
0.21061
0.21605
0.22048
0.22409
0.22709
0.22964
0.23190
0.23399
0.23605
0.23816
0.24041
0.24285
0.24553
0.24846
0.25165
0.25509
0.25874
0.26254
0.26644
0.27049
0.27474
0.27919
0.28385
0.28872
0.29380
0.29908
0.30458
0.31027
0.31616
0.32224
0.32851
0.33495
0.34156
0.34832
0.35522
0.36224
0.36938
0.37661
0.38391
0.39128
0.39868
0.40612
0.41357
